MA_KHO,ID_KHO_V1,ID_KHO_V2,TEN_KHO,LOAI_HINH_KHO,LEVEL,MA_KHO_CHA,GPS,DIEN_THOAI,DIA_CHI,MA_KHU_VUC,GHI_CHU,MA_TRANG_THAI
22222222,,13,KHO HÀNG LƯU MẪU OEM,Tổng kho ảo,0,,,,,,,WS0001
33333333,,23,Tổng kho ĐH đa dịch vụ MNam,Tổng kho ảo,0,,,,,,,WS0001
44444444,,40,"Xử lý hàng lỗi, hỏng, phát sinh nội bộ",Tổng kho ảo,0,,,,,,,WS0001
55555555,,21,KHO COMBO QUÀ TẾT 2021,Tổng kho ảo,0,,,,,,,WS0001
999999999,,29,Tổng kho hàng thu hồi,Tổng kho ảo,0,,,,,,,WS0001
ANOIBO,,38,Kho Nội Bộ tại Hà Nội,Tổng kho ảo,0,,,,,,,WS0001
APTH01,,7,Công ty CP Vietglobe Beverages Việt Nam (VGB),Tổng kho ảo,0,,,,,,,WS0001
BTCOMTET,,2,TỔNG KHO GIỎ QUÀ TẾT,Tổng kho ảo,0,,,,,,,WS0001
BTComVi21,,32,Tổng kho Vi21,Tổng kho ảo,0,,,,,,,WS0001
BTCTET2022,,19277,KHO QUY ĐỔI COMBO HÀNG TẾT 2023,Tổng kho ảo,0,,,,,,,WS0002
BTGroup.BTGroup,,8,Kho nhà cung cấp BTGroup,Tổng kho ảo,0,,,,,,,WS0001
COMBOCTKM,,19749,Kho quy đổi combo CTKM,Tổng kho ảo,0,,,,,,,WS0002
DCHANGLOI,,19021,Kho điều chuyển hàng lỗi giữa các tổng kho,Tổng kho ảo,0,,,,,,,WS0001
HANGMAUBTC,,3,"Kho hàng mẫu, thưởng, tặng BTCom",Tổng kho ảo,0,,,,,,,WS0002
IBSMRO,,17324,Tổng kho nước IBS MRO,Tổng kho ảo,0,,,,,,,WS0001
KHOANVIET,,17343,Kho Lạnh An Việt Quang Minh,Tổng kho ảo,0,,,,,,,WS0001
KHOBHTT,28138,13820,KHO KÊNH BÁN HÀNG TRỰC TIẾP,Tổng kho ảo,0,,,,,,,WS0001
KHODAILY,,34,"TỔNG KHO ĐẠI LÝ, NHÀ PHÂN PHỐI",Tổng kho ảo,0,,,,,,,WS0001
KHODCHUYEN,28010,25,TỔNG KHO ĐIỀU CHUYỂN HÀNG HÓA,Tổng kho ảo,0,,,,,,,WS0002
KHOGIUHANG,,19047,Kho giữ hàng - Hàng có đơn - Có kế hoạch xuất,Tổng kho ảo,0,,,,,,,WS0001
KHOHQLVT,,17350,KHO HOA QUẢ LÊ VĂN THIÊM,Tổng kho ảo,0,,,,,,,WS0001
KHOHQMT,,17351,Tiệm Hoa Quả Mặt Trời,Tổng kho ảo,0,,,,,,,WS0001
KHOKYGUI,,19050,Kho hàng ký gửi kênh GT,Tổng kho ảo,0,,,,,,,WS0001
KHOLOI,28011,24,"TỔNG KHO THU HỒI HÀNG LỖI HỎNG DO NCC, KHO",Tổng kho ảo,0,,,,,,,WS0002
KHOLOILVT,,19498,"Kho theo dõi hàng lỗi, cận date tổng kho Lê Văn Thiêm",Tổng kho ảo,0,,,,,,,WS0001
KHOLOIMB,,18487,"Kho theo dõi hàng lỗi, cận date tổng kho miền Bắc",Tổng kho ảo,0,,,,,,,WS0001
KHOLOIMN,,18489,"Kho theo dõi hàng lỗi, cận date tổng kho miền Nam",Tổng kho ảo,0,,,,,,,WS0001
KHOLOIMT,,18488,"Kho theo dõi hàng lỗi, cận date tổng kho miền Trung",Tổng kho ảo,0,,,,,,,WS0001
KHOLVT,,13821,TỔNG KHO LÊ VĂN THIÊM,Tổng kho vật lý,0,,,,,,,WS0002
KHOMATONG,,18306,Tổng kho Mật Ong + Bỉm MRO,Tổng kho ảo,0,,,,,,,WS0001
KHONOIBO,28008,11,TỔNG KHO NỘI BỘ VP CÔNG TY,Tổng kho ảo,0,,,,,,,WS0001
KHONVKD,,13824,KHO NHÂN VIÊN KINH DOANH,Tổng kho ảo,0,,,,,,,WS0001
KHOONLINE,,18985,Tổng kho bán hàng Online,Tổng kho ảo,0,,,,,,,WS0001
KHOSIEUTHI,,17,KHO SIÊU THỊ,Tổng kho ảo,0,,,,,,,WS0001
KHOSKHY,,17344,Kho Lạnh SK Hưng Yên,Tổng kho ảo,0,,,,,,,WS0001
KHOTRUNGTHU,,13827,TỔNG KHO BÁNH TRUNG THU,Tổng kho ảo,0,,,,,,,WS0002
KHOVGB,,13825,Kho hàng VGB,Tổng kho ảo,0,,,,,,,WS0001
KHOVGBPT,,16659,Tổng kho Nhà máy VGB Phú Thọ,Tổng kho ảo,0,,,,,,,WS0001
KPPTT,,9,KPPTT,Tổng kho ảo,0,,,,,,,WS0001
KT10007777,28007,30,TỔNG KHO VILACO THỰC TẾ XN,Tổng kho ảo,0,,,,,,,WS0001
LIBELVT,,18604,Tổng kho Liberico (Lê Văn Thiêm),Tổng kho ảo,0,,,,,,,WS0001
LIBERICO,,13828,KHO HÀNG LIBERICO,Tổng kho ảo,0,,,,,,,WS0001
LIBETULIEM,,18603,Tổng kho Liberico (Kho Từ Liêm),Tổng kho ảo,0,,,,,,,WS0001
PRODUCT,,28,PRODUCT,Tổng kho ảo,0,,,,,,,WS0001
QUATETBTC,28129,,GIỎ QUÀ TẾT BTCOM,Tổng kho ảo,0,,,,,,,WS0001
TAPHOABT,,5,CHUỖI TẠP HÓA BTCOM,Tổng kho ảo,0,,,,,,,WS0001
TETMIENBAC,,19278,KHO THEO DÕI HÀNG TẾT MIỀN BẮC 2023,Tổng kho ảo,0,,,,,,,WS0002
TETMIENNAM,,19280,KHO THEO DÕI HÀNG TẾT MIỀN NAM 2023,Tổng kho ảo,0,,,,,,,WS0002
TETMIENTRUNG,,19279,KHO THEO DÕI HÀNG TẾT MIỀN TRUNG 2023,Tổng kho ảo,0,,,,,,,WS0002
TETMUATINH,,19371,"KHO THEO DÕI HÀNG TẾT MUA TẠI TỈNH, VP",Tổng kho ảo,0,,,,,,,WS0002
TKTUDOANH,,6,TK TỰ DOANH,Tổng kho ảo,0,,,,,,,WS0002
TONGKHOAO,,15,TONGKHOAO,Tổng kho ảo,0,,,,,,,WS0001
TRAHANGNSX,28139,26,TỔNG KHO TRẢ HÀNG NHÀ SẢN XUẤT,Tổng kho ảo,0,,,,,,,WS0002
VLCGIAY,,19761,Kho Vilaco Giấy - OEM gửi kho Vilaco,Tổng kho ảo,0,,,,,,,WS0001
VPLEGACY,,36,Kho Văn Phòng BTCOM-Hàng Mẫu,Tổng kho ảo,0,,,,,,,WS0001
000003,98,43,Công ty Phát hành báo chí TW,,1,100084442,,,,GEO0009,,WS0001
000010,80,55,BĐTP Hà Nội,,1,100084442,,,,GEO0001,,WS0002
000011,,19813,Bưu điện Trung tâm Hoàn Kiếm,,1,100084442,,,,GEO0001,Thêm mới 2024,WS0002
000012,,19814,Bưu điện Trung tâm Hà Đông,,1,100084442,,,,GEO0001,Thêm mới 2024,WS0002
000013,,19815,Bưu điện Trung tâm Cầu Giấy,,1,100084442,,,,GEO0001,Thêm mới 2024,WS0002
000014,,19816,Bưu điện Trung tâm Từ Liêm,,1,100084442,,,,GEO0001,Thêm mới 2024,WS0002
000015,,19817,Bưu điện Trung tâm Long Biên,,1,100084442,,,,GEO0001,Thêm mới 2024,WS0002
000016,35,748,BĐT Hưng Yên,,1,100084442,,,,GEO0001,,WS0002
000017,63,945,BĐT Hải Dương,,1,100084442,,,,GEO0001,,WS0002
000018,57,1229,BĐTP Hải Phòng,,1,100084442,,,,GEO0001,,WS0002
000020,85,1489,BĐT Quảng Ninh,,1,100084442,,,,GEO0001,,WS0002
000021,,19818,Bưu điện Trung tâm Đông Anh,,1,100084442,,,,GEO0001,Thêm mới 2024,WS0002
000022,48,1692,BĐT Bắc Ninh,,1,100084442,,,,GEO0001,,WS0002
000023,49,1858,BĐT Bắc Giang,,1,100084442,,,,GEO0001,,WS0002
000024,81,2128,BĐT Lạng Sơn,,1,100084442,,,,GEO0001,,WS0002
000025,71,2340,BĐT Thái Nguyên,,1,100084442,,,,GEO0002,,WS0002
000026,44,2557,BĐT Bắc Kạn,,1,100084442,,,,GEO0002,,WS0002
000027,54,2709,BĐT Cao Bằng,,1,100084442,,,,GEO0002,,WS0002
000028,60,2944,BĐT Vĩnh Phúc,,1,100084442,,,,GEO0002,,WS0002
000029,86,3112,BĐT Phú Thọ,,1,100084442,,,,GEO0002,,WS0002
000030,91,3432,BĐT Tuyên Quang,,1,100084442,,,,GEO0002,,WS0002
000031,83,3596,BĐT Hà Giang,,1,100084442,,,,GEO0002,,WS0002
000032,50,3808,BĐT Yên Bái,,1,100084442,,,,GEO0002,,WS0002
000033,82,4029,BĐ Tỉnh Lào Cai,,1,100084442,,,,GEO0002,,WS0002
000034,,19819,Bưu điện Trung tâm Thanh Trì,,1,100084442,,,,GEO0001,Thêm mới 2024,WS0002
000035,90,4211,BĐT Hòa Bình,,1,100084442,,,,GEO0002,,WS0002
000036,62,4467,BĐT Sơn La,,1,100084442,,,,GEO0002,,WS0002
000037,,19820,Bưu điện Trung tâm Chương Mỹ,,1,100084442,,,,GEO0001,Thêm mới 2024,WS0002
000038,45,4695,BĐT Điện Biên,,1,100084442,,,,GEO0002,,WS0002
000039,72,4848,BĐT Lai châu,,1,100084442,,,,GEO0002,,WS0002
000040,46,4939,BĐT Hà Nam,,1,100084442,,,,GEO0001,,WS0002
000041,47,5095,BĐT Thái Bình,,1,100084442,,,,GEO0001,,WS0002
000042,55,5403,BĐT Nam Định,,1,100084442,,,,GEO0001,,WS0002
000043,58,5697,BĐT Ninh Bình,,1,100084442,,,,GEO0001,,WS0002
000044,36,5874,BĐT Thanh Hoá,,1,100084442,,,,GEO0003,,WS0002
000046,56,6623,BĐT Nghệ An,,1,100084442,,,,GEO0003,,WS0002
000048,84,7241,BĐT Hà Tĩnh,,1,100084442,,,,GEO0003,,WS0002
000049,,19821,Bưu điện Trung tâm Sơn Tây,,1,100084442,,,,GEO0001,Thêm mới 2024,WS0002
000051,87,7574,BĐT Quảng Bình,,1,100084442,,,,GEO0003,,WS0002
000052,59,7730,BĐT Quảng Trị,,1,100084442,,,,GEO0003,,WS0002
000053,92,7912,BĐT Thừa Thiên Huế,,1,100084442,,,,GEO0003,,WS0002
000055,88,8105,BĐTP Đà Nẵng,,1,100084442,,,,GEO0004,,WS0002
000056,73,8174,BĐT Quảng Nam,,1,100084442,,,,GEO0004,,WS0002
000057,70,8461,BĐT Quảng Ngãi,,1,100084442,,,,GEO0004,,WS0002
000058,51,8692,BĐT Kon Tum,,1,100084442,,,,GEO0004,,WS0002
000059,52,8813,BĐT Bình Định,,1,100084442,,,,GEO0004,,WS0002
000060,93,9021,BĐT GIA LAI,,1,100084442,,,,GEO0004,,WS0002
000062,94,9271,BĐT Phú Yên,,1,100084442,,,,GEO0004,,WS0002
000063,95,9411,BĐT Đăk Lăk,,1,100084442,,,,GEO0004,,WS0002
000064,53,9629,BĐT Đăk Nông,,1,100084442,,,,GEO0004,,WS0002
000065,64,9722,BĐT Khánh Hòa,,1,100084442,,,,GEO0004,,WS0002
000066,74,9892,BĐT Ninh Thuận,,1,100084442,,,,GEO0004,,WS0002
000067,37,9979,BĐT Lâm Đồng,,1,100084442,,,,GEO0004,,WS0002
000070,96,10175,BĐTP Hồ Chí Minh,,1,100084442,,,,GEO0005,,WS0002
000071,,19822,Bưu điện Trung tâm Sài Gòn,,1,100084442,,,,GEO0005,Thêm mới 2024,WS0002
000072,,19823,Bưu điện Trung tâm Phú Thọ,,1,100084442,,,,GEO0005,Thêm mới 2024,WS0002
000073,,19826,Bưu điện Trung tâm Chợ Lớn,,1,100084442,,,,GEO0005,Thêm mới 2024,WS0002
000074,,19824,Bưu điện Trung tâm Nam Sài Gòn,,1,100084442,,,,GEO0005,Thêm mới 2024,WS0002
000075,,19825,Bưu điện Trung tâm Gia Định,,1,100084442,,,,GEO0005,Thêm mới 2024,WS0002
000076,,19829,Bưu điện Trung tâm Bình Chánh,,1,100084442,,,,GEO0005,Thêm mới 2024,WS0002
000077,,19828,Bưu điện Trung tâm Củ Chi,,1,100084442,,,,GEO0005,Thêm mới 2024,WS0002
000078,,19827,Bưu điện Thành phố Thủ Đức,,1,100084442,,,,GEO0005,Thêm mới 2024,WS0002
000079,38,10469,BĐT Bà Rịa - Vũng Tàu,,1,100084442,,,,GEO0005,,WS0002
000080,39,10568,BĐT Bình Thuận,,1,100084442,,,,GEO0005,,WS0002
000081,65,10742,BĐT Đồng Nai,,1,100084442,,,,GEO0005,,WS0002
000082,66,10949,BĐT Bình Dương,,1,100084442,,,,GEO0005,,WS0002
000083,75,11113,BĐT Bình Phước,,1,100084442,,,,GEO0005,,WS0002
000084,89,11246,BĐT Tây Ninh,,1,100084442,,,,GEO0005,,WS0002
000085,76,11378,BĐT Long An,,1,100084442,,,,GEO0010,Gộp khu vực 2024,WS0002
000086,77,11625,BĐT Tiền Giang,,1,100084442,,,,GEO0010,Gộp khu vực 2024,WS0002
000087,41,11814,BĐT Đồng Tháp,,1,100084442,,,,GEO0010,Gộp khu vực 2024,WS0002
000088,67,12004,BĐT An Giang,,1,100084442,,,,GEO0010,Gộp khu vực 2024,WS0002
000089,78,12171,BĐT Vĩnh Long,,1,100084442,,,,GEO0010,Gộp khu vực 2024,WS0002
000090,69,12306,BĐTP Cần Thơ,,1,100084442,,,,GEO0010,Gộp khu vực 2024,WS0002
000091,43,12426,BĐT Hậu Giang,,1,100084442,,,,GEO0010,Gộp khu vực 2024,WS0002
000092,40,12527,BĐT Kiên Giang,,1,100084442,,,,GEO0010,Gộp khu vực 2024,WS0002
000093,97,12758,BĐT Bến Tre,,1,100084442,,,,GEO0010,Gộp khu vực 2024,WS0002
000094,79,12948,BĐT Trà Vinh,,1,100084442,,,,GEO0010,Gộp khu vực 2024,WS0002
000095,61,13079,BĐT Sóc Trăng,,1,100084442,,,,GEO0010,Gộp khu vực 2024,WS0002
000096,42,13214,BĐT Bạc Liêu,,1,100084442,,,,GEO0010,Gộp khu vực 2024,WS0002
000097,68,13305,BĐT Cà Mau,,1,100084442,,,,GEO0010,Gộp khu vực 2024,WS0002
TCN,,,BĐT Cả nước (Xem báo cáo),,1,,,,,GEO0008,,WS0002
000003.HA,822,44,Khối văn phòng- Cty Phát hành báo chí TW,,2,000003,,,,GEO0009,,WS0001
000010.HA,804,56,000010.HA - Kho BĐTP Hà Nội,,2,000010,,,,GEO0001,,WS0002
000011.HA,,19877,Kho BĐTT Hoàn Kiếm,,2,000011,,,,GEO0001,Thêm mới 2024,WS0002
000012.HA,,19878,Kho BĐTT Hà Đông,,2,000012,,,,GEO0001,Thêm mới 2024,WS0002
000013.HA,,19879,Kho BĐTT Cầu Giấy,,2,000013,,,,GEO0001,Thêm mới 2024,WS0002
000014.HA,,19880,Kho BĐTT Từ Liêm,,2,000014,,,,GEO0001,Thêm mới 2024,WS0002
000015.HA,,19882,Kho BĐTT Long Biên,,2,000015,,,,GEO0001,Thêm mới 2024,WS0002
000016.HA,752,749,000016.HA - Kho BĐT Hưng Yên,,2,000016,,,,GEO0001,,WS0002
000017.HA,790,946,000017.HA- Kho BĐT Hải Dương,,2,000017,,,,GEO0001,,WS0002
000018.HA,791,1230,000018.HA -Kho BĐTP Hải Phòng (BĐT),,2,000018,,,,GEO0001,,WS0002
000020.HA,781,1490,000020.HA - Kho BĐT Quảng Ninh,,2,000020,,,,GEO0001,,WS0002
000021.HA,,19881,Kho BĐTT Đông Anh,,2,000021,,,,GEO0001,Thêm mới 2024,WS0002
000022.HA,805,1693,000022.HA - Kho BĐT Bắc Ninh,,2,000022,,,,GEO0001,,WS0002
000023.HA,753,1859,000023.HA - Kho BĐT Bắc Giang,,2,000023,,,,GEO0001,,WS0002
000024.HA,870,2129,000024.HA - Kho BĐT Lạng Sơn,,2,000024,,,,GEO0001,,WS0002
000025.HA,627,2341,000025.HA - Kho BĐT Thái Nguyên,,2,000025,,,,GEO0002,,WS0002
000026.HA,628,2558,000026.HA - Kho BĐT Bắc Kạn,,2,000026,,,,GEO0002,,WS0002
000027.HA,782,2710,000027.HA - Kho BĐT Cao Bằng,,2,000027,,,,GEO0002,,WS0002
000028.HA,871,2945,000028.HA - Kho BĐT Vĩnh Phúc,,2,000028,,,,GEO0002,,WS0002
000029.HA,783,3113,000029.HA - Kho BĐT Phú Thọ,,2,000029,,,,GEO0002,,WS0002
000030.HA,754,3433,000030.HA - Kho BĐT Tuyên Quang,,2,000030,,,,GEO0002,,WS0002
000031.HA,663,3597,000031.HA - Kho BĐT Hà Giang,,2,000031,,,,GEO0002,,WS0002
000032.HA,784,3809,000032.HA - Kho BĐT Yên Bái,,2,000032,,,,GEO0002,,WS0002
000033.HA,738,4030,000033.HA - Kho BĐT Lào Cai,,2,000033,,,,GEO0002,,WS0002
000034.HA,,19883,Kho BĐTT Thanh Trì,,2,000034,,,,GEO0001,Thêm mới 2024,WS0002
000035.HA,847,4212,000035.HA - Kho BĐT Hòa Bình,,2,000035,,,,GEO0002,,WS0002
000036.HA,739,4468,000036.HA - Kho BĐT Sơn La,,2,000036,,,,GEO0002,,WS0002
000037.HA,,19884,Kho BĐTT Chương Mỹ,,2,000037,,,,GEO0001,Thêm mới 2024,WS0002
000038.HA,864,4696,000038.HA - Kho BĐT Điện Biên,,2,000038,,,,GEO0002,,WS0002
000039.HA,664,4852,000039.HA - Kho BĐT Lai Châu,,2,000039,,,,GEO0002,,WS0002
000040.HA,785,4940,000040.HA - Kho BĐT Hà Nam,,2,000040,,,,GEO0001,,WS0002
000041.HA,700,5096,000041.HA -Kho BĐT Thái Bình,,2,000041,,,,GEO0001,,WS0002
000042.HA,629,13496,000042.HA - Kho BĐT Nam Định,,2,000042,,,,GEO0001,,WS0002
000043.HA,848,5698,000043.HA - Kho BĐT Ninh Bình,,2,000043,,,,GEO0001,,WS0002
000044.HA,865,5875,000044.HA - Kho BĐT Thanh Hóa,,2,000044,,,,GEO0003,,WS0002
000046.HA,789,6624,000046.HA - Kho BĐT Nghệ An,,2,000046,,,,GEO0003,,WS0002
000048.HA,701,7242,000048.HA - Kho BĐT Hà Tĩnh,,2,000048,,,,GEO0003,,WS0002
000049.HA,,19885,Kho BĐTT Sơn Tây,,2,000049,,,,GEO0001,Thêm mới 2024,WS0002
000051.HA,872,7575,Kho BĐT Quảng Bình,,2,000051,,,,GEO0003,,WS0002
000052.HA,702,7731,000052.HA - Kho BĐT Quảng Trị,,2,000052,,,,GEO0003,,WS0002
000053.HA,630,7913,000053.HA - Kho BĐT TT Huế,,2,000053,,,,GEO0003,,WS0002
000055.HA,873,8106,000055.HA - Kho BĐTP Đà Nẵng (BĐT),,2,000055,,,,GEO0004,,WS0002
000056.HA,665,8175,000056.HA - Kho BĐT Quảng Nam,,2,000056,,,,GEO0004,,WS0002
000057.HA,706,8462,000057.HA - Kho BĐT Quảng Ngãi,,2,000057,,,,GEO0004,,WS0002
000058.HA,874,8693,000058.HA - Kho BĐT Kon Tum,,2,000058,,,,GEO0004,,WS0002
000059.HA,703,8814,000059.HA - Kho BĐT Bình Định,,2,000059,,,,GEO0004,,WS0002
000060.HA,704,9022,000060.HA - Kho BĐT Gia Lai,,2,000060,,,,GEO0004,,WS0002
000062.HA,866,9272,000062.HA - Kho BĐT Phú Yên,,2,000062,,,,GEO0004,,WS0002
000063.HA,849,9412,000063.HA - Kho BĐT Đăk Lăk,,2,000063,,,,GEO0004,,WS0002
000064.HA,792,9630,000064.HA - Kho BĐT Đăk Nông,,2,000064,,,,GEO0004,,WS0002
000065.HA,793,9723,000065.HA - Kho BĐT Khánh Hòa,,2,000065,,,,GEO0004,,WS0002
000066.HA,794,9893,000066.HA - Kho BĐT Ninh Thuận,,2,000066,,,,GEO0004,,WS0002
000067.HA,875,9980,000067.HA - Kho BĐT Lâm Đồng,,2,000067,,,,GEO0004,,WS0002
000070.HA,876,10176,000070.HA - Kho BĐTP Hồ Chí Minh,,2,000070,,,,GEO0005,,WS0001
000071.HA,,19935,Kho BĐTT Sài Gòn,,2,000071,,,,GEO0005,Thêm mới 2024,WS0002
000072.HA,,19939,Kho BĐTT Phú Thọ,,2,000072,,,,GEO0005,Thêm mới 2024,WS0002
000073.HA,,19934,Kho BĐTT Chợ Lớn,,2,000073,,,,GEO0005,Thêm mới 2024,WS0002
000074.HA,,19932,Kho BĐTT Nam Sài Gòn,,2,000074,,,,GEO0005,Thêm mới 2024,WS0002
000075.HA,,19937,Kho BĐTT Gia Định,,2,000075,,,,GEO0005,Thêm mới 2024,WS0002
000076.HA,,19938,Kho BĐTT Bình Chánh,,2,000076,,,,GEO0005,Thêm mới 2024,WS0002
000077.HA,,19933,Kho BĐTT Củ Chi,,2,000077,,,,GEO0005,Thêm mới 2024,WS0002
000078.HA,,19936,Kho BĐTT Thủ Đức,,2,000078,,,,GEO0005,Thêm mới 2024,WS0002
000079.HA,666,10470,000079.HA - Kho BĐT Bà Rịa Vũng Tàu,,2,000079,,,,GEO0005,,WS0002
000080.HA,707,10569,000080.HA - Kho BĐT Bình Thuận,,2,000080,,,,GEO0005,,WS0002
000081.HA,850,10743,000081.HA - Kho BĐT Đồng Nai,,2,000081,,,,GEO0005,,WS0002
000081_Vi21,880,,Vi21 Đồng Nai,,2,000081,,,,GEO0005,,WS0002
000082.HA,631,10950,000082.HA - Kho BĐT Bình Dương,,2,000082,,,,GEO0005,,WS0002
000083.HA,632,11114,000083.HA - Kho BĐT Bình Phước,,2,000083,,,,GEO0005,,WS0002
000084.HA,755,11247,000084.HA - Kho BĐT Tây Ninh,,2,000084,,,,GEO0005,,WS0002
000085.HA,877,11379,000085.HA - Kho BĐT Long An,,2,000085,,,,GEO0010,Đổi Khu vực của BĐT,WS0002
000086.HA,756,11626,000086.HA - Kho BĐT Tiền Giang,,2,000086,,,,GEO0010,Đổi Khu vực của BĐT,WS0002
000087.HA,797,11815,000087.HA - Kho BĐT Đồng Tháp,,2,000087,,,,GEO0010,Đổi Khu vực của BĐT,WS0002
000088.HA,757,12005,000088.HA - Kho BĐT An Giang,,2,000088,,,,GEO0010,Đổi Khu vực của BĐT,WS0002
000089.HA,741,12172,000089.HA - Kho BĐT Vĩnh Long,,2,000089,,,,GEO0010,Đổi Khu vực của BĐT,WS0002
000090.HA,828,12307,000090.HA - Kho BĐT Cần Thơ,,2,000090,,,,GEO0010,Đổi Khu vực của BĐT,WS0002
000091.HA,742,12427,000091.HA - Kho BĐT Hậu Giang,,2,000091,,,,GEO0010,Đổi Khu vực của BĐT,WS0002
000092.HA,786,12528,000092.HA - Kho BĐT Kiên Giang,,2,000092,,,,GEO0010,Đổi Khu vực của BĐT,WS0002
000093.HA,787,12759,000093.HA - Kho BĐT Bến Tre,,2,000093,,,,GEO0010,Đổi Khu vực của BĐT,WS0002
000094.HA,758,12949,000094.HA - Kho BĐT Trà Vinh,,2,000094,,,,GEO0010,Đổi Khu vực của BĐT,WS0002
000095.HA,827,13080,000095.HA - Kho BĐT Sóc Trăng,,2,000095,,,,GEO0010,Đổi Khu vực của BĐT,WS0002
000096.HA,788,13215,000096.HA - Kho BĐT Bạc Liêu,,2,000096,,,,GEO0010,Đổi Khu vực của BĐT,WS0002
000097.HA,667,13306,000097.HA - Kho BĐT Cà Mau,,2,000097,,,,GEO0010,Đổi Khu vực của BĐT,WS0002
000300,869,47,TT Phát hành báo chí TW 1,,2,000003,,,,GEO0009,,WS0001
000301,854,13477,TT KTVC Báo chí,,2,000003,,,,GEO0009,,WS0001
000302,856,13479,TT Phát hành báo chí TW 2,,2,000003,,,,GEO0009,,WS0001
000303,823,13481,TT Phát hành báo chí TW 3,,2,000003,,,,GEO0009,,WS0001
000304,821,13483,Tổ thương mại điện tử,,2,000003,,,,GEO0009,,WS0001
001003,,19842,Bưu Điện Trung tâm 3- Hà Nội,,2,000013,,,,GEO0001,Thêm mới 2024,WS0002
001004,,19843,BƯU ĐIỆN TRUNG TÂM 4- Hà Nội,,2,000014,,,,GEO0001,Thêm mới 2024,WS0002
001005,,19844,Bưu Điện Trung Tâm 5- Hà Nội,,2,000015,,,,GEO0001,Thêm mới 2024,WS0002
001006,,19845,BƯU ĐIỆN TRUNG TÂM 6,,2,000015,,,,GEO0001,Thêm mới 2024,WS0002
001290,705,,BƯU ĐIỆN TRUNG TÂM 8 = 30 điểm BĐVHX,,2,000010,,,,GEO0001,,WS0002
001291,,13577,TT KTVC Hà Nội,,2,000010,,,,GEO0001,Thêm mới 2024,WS0002
001310,,13579,BĐH Gia Lâm,,2,000010,,,,GEO0001,Thêm mới 2024,WS0002
001390,,19846,BĐH Đông Anh - Hà Nội,,2,000021,,,,GEO0001,Thêm mới 2024,WS0002
001393,,19847,BĐH Sóc Sơn - Hà Nội,,2,000021,,,,GEO0001,Thêm mới 2024,WS0002
001500,625,,BƯU ĐIỆN TRUNG TÂM 7 = 44 điểm BĐVHX,,2,000010,,,,GEO0001,,WS0002
001515,,19841,BĐ Trung Tâm 2 - Hà Nội,,2,000012,,,,GEO0001,Thêm mới 2024,WS0002
001517,,19853,BĐH Quốc Oai - Hà Nội,,2,000049,,,,GEO0001,Thêm mới 2024,WS0002
001540,626,,BƯU ĐIỆN TRUNG TÂM 9 = 43 điểm BĐVHX,,2,000010,,,,GEO0001,,WS0002
